Employee_ID,First_Name,Last_Name,Department,Job_Title,Manager_ID,Location,Country,Employment_Type,Hire_Date,Termination_Date,Status,Base_Salary
47930,Brian,Robertson,IT,Associate,73904.0,Wilmington,USA,FT,2016-04-05,,Active,89859
20458,Nicholas,Schultz,HR,Coordinator,,Wilmington,USA,Contract,2016-10-09,,Terminated,98625
40512,Tricia,Rogers,IT,Coordinator,56507.0,Chicago,USA,FT,2018-06-02,,Active,97098
23238,Joseph,Cardenas,Marketing,Coordinator,43862.0,Chicago,USA,PT,2017-01-19,,Active,60251
59823,Kristen,Potter,Sales,Coordinator,54608.0,Wilmington,USA,Contract,2023-08-15,,Active,45526
46434,Spencer,Chambers,Sales,Coordinator,46655.0,Columbus,USA,Contract,2024-07-17,,Active,113760
69429,Rodney,Walker,HR,Coordinator,88139.0,New York,USA,FT,2024-02-22,,Terminated,92837
93320,Susan,Gonzalez,Sales,Engineer,46211.0,New York,USA,PT,2015-11-27,,Active,56536
57819,Wendy,Johnson,Operations,Associate,,Columbus,USA,FT,2024-08-02,,Active,73541
31319,Angela,Sanchez,Sales,Coordinator,11330.0,Wilmington,USA,Contract,2020-07-06,,Active,124083
58520,Jennifer,Alvarez,Marketing,Associate,77715.0,Chicago,USA,FT,2016-06-08,,Terminated,96027
56566,Eric,Atkinson,HR,Associate,35042.0,New York,USA,FT,2021-01-28,,Terminated,79531
37460,Kenneth,Jones,Marketing,Manager,21221.0,Plano,USA,PT,2022-02-13,,Active,53712
97841,Tanya,Perry,Marketing,Engineer,41635.0,Plano,USA,PT,2020-11-16,,Active,149101
44993,Beth,Soto,HR,Coordinator,63271.0,Columbus,USA,Contract,2020-04-24,,Active,110455
99593,Amy,Lee,HR,Analyst,74038.0,Wilmington,USA,FT,2016-05-29,,Terminated,119744
94939,Julie,Horton,Marketing,Director,82768.0,New York,USA,FT,2018-07-25,,Active,50109
19358,Brian,Snyder,HR,Analyst,41499.0,Wilmington,USA,FT,2017-03-15,,Terminated,94268
89840,Breanna,Sanchez,HR,Engineer,72402.0,New York,USA,Contract,2018-10-10,2025-11-21,Active,145737
93227,Wesley,Douglas,HR,Director,94659.0,Columbus,USA,Contract,2024-09-13,,Active,99615
32431,Melissa,Smith,IT,Engineer,74332.0,Columbus,USA,PT,2020-09-27,,Active,127503
80010,Eric,Potter,Operations,Associate,,Plano,USA,PT,2016-03-07,,Active,74759
42087,Susan,Carrillo,Sales,Director,12260.0,Wilmington,USA,PT,2022-03-12,,Active,130708
31417,Christopher,Rodriguez,Operations,Associate,22196.0,Plano,USA,FT,2023-11-20,,Active,105112
70589,Jacob,Coleman,Sales,Analyst,48566.0,Wilmington,USA,FT,2022-12-28,2025-02-28,Active,147471
59735,Brooke,Thompson,Marketing,Analyst,39045.0,Plano,USA,PT,2019-01-01,,Active,71589
45382,Emma,Rubio,HR,Director,63005.0,Chicago,USA,FT,2016-01-11,,Active,75015
93886,Joe,Holmes,HR,Director,41890.0,Chicago,USA,PT,2019-12-22,,Active,74009
83000,David,Williams,Operations,Coordinator,,Chicago,USA,Contract,2018-02-20,,Terminated,128309
38785,Pamela,Wright,Operations,Engineer,97026.0,Chicago,USA,PT,2024-04-22,,Terminated,107046
99733,John,Charles,Marketing,Coordinator,,New York,USA,Contract,2017-01-10,,Terminated,71143
52504,Brooke,Bryant,IT,Engineer,58368.0,Chicago,USA,FT,2025-05-13,,Terminated,51154
17331,Christine,Solis,HR,Coordinator,72031.0,Columbus,USA,PT,2022-05-16,,Active,66804
40021,Robert,Contreras,Marketing,Associate,82544.0,Columbus,USA,FT,2017-06-07,,Active,86688
14207,Brandy,Travis,Finance,Director,79588.0,New York,USA,Contract,2025-03-21,,Active,109288
51347,Alexandra,Larson,HR,Analyst,55056.0,Chicago,USA,Contract,2018-10-24,,Active,96195
62581,Sarah,Dodson,HR,Engineer,65771.0,Chicago,USA,Contract,2022-12-12,,Active,65581
45093,James,Vance,HR,Engineer,82140.0,Chicago,USA,FT,2020-01-18,,Active,97648
18675,Jennifer,Salazar,IT,Analyst,53357.0,Plano,USA,FT,2020-09-19,,Active,75087
37653,John,Ball,HR,Coordinator,56112.0,Wilmington,USA,FT,2020-08-13,,Active,94930
84341,Randy,Wagner,HR,Engineer,69473.0,Plano,USA,FT,2020-06-17,,Active,77981
51245,Emily,Rivas,IT,Associate,45509.0,Wilmington,USA,Contract,2017-05-04,,Active,114298
37869,Kevin,Kelley,Operations,Director,50189.0,Chicago,USA,Contract,2017-10-19,,Active,91167
95909,Leslie,Merritt,Operations,Analyst,,Chicago,USA,PT,2021-11-20,,Active,120304
75435,Karen,Manning,Sales,Director,40217.0,Plano,USA,PT,2023-05-11,,Terminated,88408
61856,Charles,Wells,HR,Engineer,,Plano,USA,FT,2017-04-04,,Active,84499
94259,Stephen,Green,Operations,Engineer,35242.0,Wilmington,USA,Contract,2016-08-04,,Active,97269
70142,Yolanda,Wright,HR,Analyst,51359.0,Columbus,USA,Contract,2023-08-15,,Terminated,83559
28726,Wendy,Walsh,IT,Associate,25670.0,Wilmington,USA,Contract,2024-06-09,,Terminated,119319
44718,Charles,Cannon,IT,Manager,80236.0,Plano,USA,PT,2019-04-17,2022-05-16,Terminated,140317
28301,Jason,Boyd,IT,Analyst,,Plano,USA,PT,2023-10-09,,Active,141347
42325,Joseph,Sims,Operations,Manager,,New York,USA,Contract,2018-07-25,,Active,93787
83579,Sarah,Hill,Operations,Coordinator,38361.0,Plano,USA,Contract,2015-12-02,,Active,80488
80644,Nicole,Jones,IT,Manager,73464.0,New York,USA,Contract,2023-02-26,,Active,119441
44438,Natasha,Mitchell,Operations,Associate,,Columbus,USA,PT,2024-04-08,,Active,119663
86622,Mike,Nelson,HR,Coordinator,,Wilmington,USA,Contract,2021-09-10,,Active,67431
66155,Eric,Flores,Finance,Manager,78765.0,Wilmington,USA,Contract,2022-06-29,,Active,106681
86484,Martha,Fernandez,HR,Coordinator,,New York,USA,FT,2024-07-18,,Active,108483
62350,Jade,Taylor,Sales,Manager,47093.0,Wilmington,USA,FT,2020-05-11,,Active,94153
57447,Cheryl,Hall,IT,Associate,23176.0,Plano,USA,PT,2020-09-26,2024-05-22,Active,51368
38746,Vanessa,Benson,Finance,Manager,,Chicago,USA,Contract,2019-03-21,,Active,72424
28131,Destiny,Mccarthy,IT,Manager,,New York,USA,Contract,2023-07-10,,Active,90004
76784,Alan,Brown,Operations,Manager,39816.0,Wilmington,USA,FT,2019-08-31,,Active,128869
74686,Lisa,Russell,Sales,Analyst,57301.0,New York,USA,PT,2025-03-22,,Terminated,133652
21915,Kevin,Daniels,Operations,Analyst,33519.0,New York,USA,FT,2024-08-03,,Active,101985
16175,Elizabeth,Perry,HR,Analyst,49618.0,Chicago,USA,FT,2025-09-13,,Active,95069
24371,Sheila,Clark,HR,Associate,11854.0,Plano,USA,FT,2018-04-13,,Active,97326
30033,Dennis,Fisher,Sales,Coordinator,80010.0,New York,USA,FT,2035-01-01,,Active,126061
92240,Darrell,Stein,Sales,Engineer,26591.0,Wilmington,USA,Contract,2024-06-15,,Active,68398
30969,Daniel,Silva,IT,Manager,45954.0,Columbus,USA,Contract,2020-01-01,,Active,143393
99192,Angela,Dominguez,Sales,Manager,,New York,USA,FT,2019-01-28,,Active,95861
65333,Joseph,Gates,HR,Associate,17146.0,New York,USA,PT,2020-08-15,,Active,120897
88172,Cassandra,Cannon,Operations,Manager,82529.0,Chicago,USA,PT,2025-01-10,,Terminated,126905
18326,Jennifer,James,Finance,Analyst,48290.0,Plano,USA,PT,2019-09-15,,Active,113577
60432,James,Smith,Marketing,Engineer,26551.0,Columbus,USA,PT,2025-10-11,,Active,110641
60019,Cynthia,Bell,Sales,Director,,Wilmington,USA,FT,2023-10-26,,Terminated,54078
88104,Joseph,Molina,IT,Manager,74340.0,Columbus,USA,Contract,2022-05-31,,Terminated,70003
71348,Tracy,Castaneda,HR,Analyst,,Wilmington,USA,PT,2017-05-31,,Active,107768
79352,Rebecca,Ashley,HR,Director,11607.0,Plano,USA,FT,2025-07-17,,Active,96047
42953,Meghan,Barnes,Marketing,Engineer,,Wilmington,USA,PT,2017-02-26,,Active,116626
82512,Christopher,Adkins,Finance,Director,,Chicago,USA,PT,2025-07-19,,Active,102660
11504,Rodney,Payne,Marketing,Analyst,,Chicago,USA,FT,2019-03-19,,Active,149386
99166,Joshua,Morrison,Sales,Coordinator,72746.0,Chicago,USA,Contract,2016-11-23,,Active,94786
25014,Adam,Walker,IT,Coordinator,67733.0,Chicago,USA,Contract,2024-05-05,,Active,46925
99353,Kellie,Robinson,HR,Director,54657.0,Columbus,USA,FT,2016-11-21,,Terminated,128976
80381,Dana,Graham,HR,Associate,34164.0,Plano,USA,Contract,2024-12-30,,Terminated,71015
44973,Jose,Johnson,IT,Director,16734.0,Wilmington,USA,FT,2016-01-18,,Active,78320
94012,Joyce,Rogers,Operations,Manager,43092.0,Wilmington,USA,FT,2017-05-02,,Active,109881
54587,Andrea,Shelton,HR,Manager,72616.0,Chicago,USA,FT,2024-08-08,,Active,135827
24621,Ronald,Powell,HR,Coordinator,24953.0,Chicago,USA,Contract,2025-08-05,,Active,147215
48469,Alec,Martin,HR,Associate,18564.0,New York,USA,FT,2016-08-22,,Active,71289
66985,Charles,Mcdonald,IT,Analyst,,Plano,USA,PT,2023-09-16,,Active,48389
30730,Nicole,Anderson,HR,Manager,74454.0,Columbus,USA,Contract,2035-01-01,,Active,70683
69470,Rebecca,Dean,Marketing,Coordinator,,Wilmington,USA,Contract,2022-02-15,,Active,58629
10425,Amy,Johnson,HR,Engineer,85631.0,New York,USA,Contract,2019-11-14,,Active,106550
44522,Mary,Long,HR,Coordinator,92502.0,New York,USA,Contract,2016-09-11,,Active,69826
75612,Brandi,Elliott,HR,Manager,99974.0,Wilmington,USA,PT,2019-03-07,,Active,145734
33416,Earl,Johnson,HR,Manager,,Columbus,USA,Contract,2022-08-21,,Active,71630
76542,David,Day,Finance,Coordinator,29887.0,New York,USA,Contract,2021-03-25,2025-03-21,Terminated,143762
23947,Kyle,Taylor,Operations,Analyst,29555.0,New York,USA,FT,2025-06-08,,Active,91163
91959,Rachel,Murray,IT,Director,83772.0,Plano,USA,Contract,2022-02-28,,Active,143511
49117,Laura,Williams,HR,Manager,49824.0,Columbus,USA,PT,2024-10-07,,Active,111435
93748,Michelle,Gray,HR,Coordinator,21164.0,New York,USA,PT,2020-10-09,,Active,56653
76540,Rachel,Lewis,HR,Coordinator,42530.0,Columbus,USA,PT,2021-04-21,,Active,72961
89818,Jason,Murphy,HR,Associate,25525.0,Wilmington,USA,PT,2022-01-25,,Active,126941
36071,John,Juarez,IT,Director,83147.0,Chicago,USA,Contract,2018-03-29,,Active,119137
30032,Curtis,Gray,Finance,Engineer,64548.0,New York,USA,Contract,2022-09-27,,Active,78662
59009,Kimberly,Walton,Operations,Analyst,,Plano,USA,PT,2018-10-07,,Terminated,143818
31174,Nicole,Decker,IT,Engineer,88135.0,Wilmington,USA,PT,2018-03-03,,Active,101446
80697,Richard,King,Operations,Director,91057.0,Columbus,USA,Contract,2016-10-18,,Active,66288
79514,Christine,Miller,Marketing,Director,39581.0,Wilmington,USA,PT,2025-09-04,,Terminated,140081
10074,Eric,Smith,HR,Director,78494.0,New York,USA,FT,2023-07-01,,Active,81877
88504,Sarah,Ryan,Finance,Engineer,59856.0,Columbus,USA,PT,2022-12-07,,Terminated,60313
52487,Michelle,Cooke,Marketing,Director,69049.0,Chicago,USA,PT,2016-11-24,,Active,125885
74042,Theresa,Bell,IT,Coordinator,,Wilmington,USA,FT,2017-07-22,,Active,117715
12552,Lisa,Santos,IT,Engineer,48974.0,New York,USA,FT,2018-11-20,,Active,55326
24662,Nicole,Harrington,HR,Director,87139.0,Plano,USA,Contract,2016-03-07,,Active,46560
57576,Angel,Pearson,Finance,Coordinator,66207.0,Columbus,USA,Contract,2019-02-19,,Active,124148
50306,Jill,Webster,Finance,Associate,,Wilmington,USA,FT,2016-06-15,,Active,128186
41385,Martin,Herring,HR,Director,84531.0,Wilmington,USA,FT,2019-06-24,,Active,71745
17592,Sarah,Gonzalez,Sales,Engineer,91399.0,Chicago,USA,Contract,2020-03-14,,Active,76890
41571,Leah,Smith,Finance,Manager,17894.0,Chicago,USA,PT,2018-05-03,,Active,65022
84364,Michelle,Hernandez,HR,Director,89905.0,Plano,USA,FT,2020-01-06,,Terminated,97579
20322,Lisa,Martinez,IT,Manager,23006.0,Plano,USA,Contract,2022-09-17,2024-10-13,Terminated,115316
21226,Joseph,Caldwell,IT,Coordinator,37235.0,New York,USA,PT,2017-09-10,,Terminated,128847
73699,Kristin,Elliott,HR,Associate,91987.0,New York,USA,FT,2017-08-23,2025-10-05,Active,73380
19071,Daniel,Robinson,HR,Analyst,,Plano,USA,PT,2021-12-27,,Active,47356
79822,Monica,Lyons,HR,Associate,44687.0,Plano,USA,Contract,2019-09-20,,Active,115326
26483,Michele,Wang,IT,Director,96563.0,Columbus,USA,FT,2022-09-22,,Active,137447
26828,Jeffrey,Jackson,Operations,Manager,20641.0,Chicago,USA,PT,2020-11-13,2025-06-12,Active,134899
96474,Lisa,Lawson,IT,Manager,30585.0,New York,USA,FT,2021-09-22,,Active,65049
72296,Steven,Adkins,Sales,Engineer,41439.0,Chicago,USA,PT,2018-03-20,,Active,120717
82063,Kevin,Wilson,HR,Manager,32782.0,Chicago,USA,Contract,2022-04-10,,Active,61082
31643,Laura,Weiss,Marketing,Engineer,82350.0,Plano,USA,Contract,2020-06-27,,Active,45661
44741,Jeremy,Oconnell,Operations,Coordinator,19838.0,Columbus,USA,FT,2022-07-24,,Active,82412
79163,Andrew,Rodriguez,HR,Analyst,,Wilmington,USA,PT,2024-11-18,,Active,47920
89507,James,Johnson,Marketing,Director,,Columbus,USA,FT,2020-07-18,,Terminated,136194
